participant,gender,age,language,logical_training,trial_type,card_type,guess_type,card,guess,response,aim,comments,response_type,order,duration
anon14,male,35,English,Yes,XY_XorY,XY,XorY,dogele,dogorele,right,something to do with logic,"no, thank you.",binary,NA,NA
anon14,male,35,English,Yes,XY_X,XY,X,catdog,cat,right,something to do with logic,"no, thank you.",binary,NA,NA
anon14,male,35,English,Yes,X_XandY,X,XandY,cat,catandele,wrong,something to do with logic,"no, thank you.",binary,NA,NA
anon14,male,35,English,Yes,XY_XorY,XY,XorY,catdog,catordog,right,something to do with logic,"no, thank you.",binary,NA,NA
anon15,female,25,english,Yes,XY_XandY,XY,XandY,dogele,dogandele,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_XandY,XY,XandY,catdog,catanddog,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_Z,XY,Z,catdog,ele,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_X,X,X,dog,dog,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_Z,X,Z,ele,cat,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_Z,X,Z,dog,cat,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_X,XY,X,catdog,cat,neiter,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_XandY,XY,XandY,catele,catandele,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_XorY,XY,XorY,dogele,dogorele,neiter,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_XorY,X,XorY,ele,catorele,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_X,XY,X,catele,cat,neiter,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_X,XY,X,dogele,ele,neiter,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_Z,X,Z,dog,ele,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_XorY,X,XorY,dog,dogorele,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_Z,XY,Z,catele,dog,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_XandY,X,XandY,ele,dogandele,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_XorY,XY,XorY,catele,catorele,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_X,X,X,ele,ele,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_X,X,X,cat,cat,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_XorY,XY,XorY,catdog,catordog,neiter,unsure,no,ternary,NA,NA
