"","participant","order","gender","age","language","trial_type","response_type","guess_type","guess","card_type","card","logical_training","response","duration","aim","comments"
"77","anon11",5,"female","22","English","XY_XandY","true-false","XandY","dogandele","XY","DOGELE","No","True",3340,"Understanding perceptions of english",""
"78","anon11",6,"female","22","English","X_XandY","true-false","XandY","dogandele","X","DOG","No","False",2344,"Understanding perceptions of english",""
"79","anon11",7,"female","22","English","XY_XorY","true-false","XorY","dogorele","XY","DOGELE","No","True",4311,"Understanding perceptions of english",""
"80","anon11",8,"female","22","English","XY_XorY","true-false","XorY","catordog","XY","CATDOG","No","True",2730,"Understanding perceptions of english",""
"81","anon11",9,"female","22","English","X_XorY","true-false","XorY","catordog","X","CAT","No","True",2124,"Understanding perceptions of english",""
"82","anon11",10,"female","22","English","XY_XandY","true-false","XandY","catanddog","XY","CATDOG","No","True",2679,"Understanding perceptions of english",""
"83","anon11",11,"female","22","English","X_Z","true-false","Z","ele","X","CAT","No","False",1647,"Understanding perceptions of english",""
"84","anon11",12,"female","22","English","XY_XandY","true-false","XandY","catandele","XY","CATELE","No","True",2327,"Understanding perceptions of english",""
"85","anon11",13,"female","22","English","XY_Z","true-false","Z","dog","XY","CATELE","No","False",1792,"Understanding perceptions of english",""
"86","anon11",14,"female","22","English","XY_X","true-false","X","cat","XY","CATDOG","No","True",1584,"Understanding perceptions of english",""
"87","anon11",15,"female","22","English","X_XandY","true-false","XandY","catandele","X","CAT","No","False",1805,"Understanding perceptions of english",""
"88","anon11",16,"female","22","English","XY_XorY","true-false","XorY","catorele","XY","CATELE","No","True",2458,"Understanding perceptions of english",""
"89","anon11",17,"female","22","English","XY_Z","true-false","Z","cat","XY","DOGELE","No","False",1689,"Understanding perceptions of english",""
"90","anon11",18,"female","22","English","X_XorY","true-false","XorY","dogorele","X","DOG","No","True",2233,"Understanding perceptions of english",""
"91","anon11",19,"female","22","English","X_XandY","true-false","XandY","catanddog","X","CAT","No","False",1552,"Understanding perceptions of english",""
"92","anon11",20,"female","22","English","X_Z","true-false","Z","ele","X","DOG","No","False",1541,"Understanding perceptions of english",""
"93","anon11",21,"female","22","English","XY_Z","true-false","Z","ele","XY","CATDOG","No","False",2986,"Understanding perceptions of english",""
"94","anon11",22,"female","22","English","X_X","true-false","X","ele","X","ELE","No","True",1375,"Understanding perceptions of english",""
"95","anon11",23,"female","22","English","XY_X","true-false","X","cat","XY","CATELE","No","True",1695,"Understanding perceptions of english",""
"96","anon11",24,"female","22","English","XY_X","true-false","X","ele","XY","DOGELE","No","True",2793,"Understanding perceptions of english",""
"97","anon12",1,"female","36","English","X_X","true-false","X","cat","X","CAT","Yes","True",3708,"I dont know","I did not have any technical problems during the survey. Have a terrific day!"
