participant,gender,age,language,logical_training,card_type,guess_type,card,guess,response,aim,comments,type
anon18,male,34,English,Yes,XY,XandY,catdog,catanddog,1,Not sure,,ternary
anon18,male,34,English,Yes,X,X,cat,cat,1,Not sure,,ternary
anon18,male,34,English,Yes,XY,XandY,dogele,dogandele,1,Not sure,,ternary
anon18,male,34,English,Yes,XY,Z,dogele,cat,1,Not sure,,ternary
anon18,male,34,English,Yes,X,Z,dog,ele,0,Not sure,,ternary
anon18,male,34,English,Yes,X,XorY,cat,catorele,1,Not sure,,ternary
anon18,male,34,English,Yes,X,XandY,cat,catanddog,0,Not sure,,ternary
anon18,male,34,English,Yes,X,X,ele,ele,1,Not sure,,ternary
anon18,male,34,English,Yes,X,Z,cat,ele,0,Not sure,,ternary
anon18,male,34,English,Yes,XY,Z,catdog,ele,0,Not sure,,ternary
anon18,male,34,English,Yes,XY,XorY,catdog,catordog,1,Not sure,,ternary
anon18,male,34,English,Yes,XY,Z,catele,dog,0,Not sure,,ternary
anon18,male,34,English,Yes,X,Z,cat,dog,0,Not sure,,ternary
anon2,female,20,english,Yes,XY,X,catdog,dog,87,,,slider
anon2,female,20,english,Yes,X,XandY,cat,catanddog,98,,,slider
anon2,female,20,english,Yes,X,X,ele,ele,100,,,slider
anon2,female,20,english,Yes,X,Z,cat,ele,0,,,slider
anon2,female,20,english,Yes,X,XorY,ele,dogorele,100,,,slider
anon2,female,20,english,Yes,XY,XandY,dogele,dogandele,100,,,slider
anon2,female,20,english,Yes,X,XandY,ele,dogandele,3,,,slider
anon2,female,20,english,Yes,X,X,cat,cat,96,,,slider
anon2,female,20,english,Yes,XY,Z,catdog,ele,3,,,slider
anon2,female,20,english,Yes,XY,Z,catele,dog,6,,,slider
anon2,female,20,english,Yes,X,X,dog,dog,93,,,slider
anon2,female,20,english,Yes,XY,XorY,dogele,dogorele,93,,,slider
anon2,female,20,english,Yes,X,XorY,cat,catordog,83,,,slider
anon2,female,20,english,Yes,XY,X,catdog,cat,86,,,slider
anon2,female,20,english,Yes,X,XorY,dog,catordog,91,,,slider
anon2,female,20,english,Yes,X,XandY,dog,catanddog,8,,,slider
anon2,female,20,english,Yes,XY,XandY,catele,catandele,92,,,slider
anon2,female,20,english,Yes,XY,XorY,catdog,catordog,61,,,slider
anon2,female,20,english,Yes,XY,XandY,catdog,catanddog,92,,,slider
anon2,female,20,english,Yes,X,Z,dog,cat,11,,,slider
anon2,female,20,english,Yes,XY,Z,dogele,cat,7,,,slider
anon2,female,20,english,Yes,X,Z,ele,dog,9,,,slider
anon2,female,20,english,Yes,XY,X,dogele,dog,91,,,slider
anon2,female,20,english,Yes,XY,XorY,catele,catorele,58,,,slider
anon20,male,46,English,No,X,XorY,ele,dogorele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,XorY,dog,catordog,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,X,dogele,ele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,Z,catele,dog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,X,catele,cat,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,XandY,ele,dogandele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,XorY,dogele,dogorele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,XorY,catdog,catordog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,XandY,dogele,dogandele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,XandY,cat,catandele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,XandY,catele,catandele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,X,ele,ele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,XandY,dog,catanddog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,XandY,catdog,catanddog,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,Z,dogele,cat,0,To determine whether AND or OR affected the right/wrong decision.,,binary
